inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,stock_type,zone,shown_quantity
3420656604,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,I,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656609,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,2,403,J,"1,2",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656608,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,403,K,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656612,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,C,"5,6,7",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656613,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,13,404,D,"10,11,12,13,14,15,16,17,18,19,7,8,9",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656615,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,E,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656617,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,F,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656619,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,G,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656620,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,11,404,H,"10,11,12,13,14,15,16,17,18,19,9",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656622,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,I,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656623,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,10,404,J,"10,11,12,13,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656626,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,404,K,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656628,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,2,405,A,"1,2",-tnow -tmplus -stub,xfer,AWS,118.95,91.5,91.5,91.5,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420656629,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,7,405,C,"11,12,13,14,15,16,17",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
